set,numero,lingua,url_carta,url_immagine,url_immagine_grande
DRI,226,en,https://limitlesstcg.com/cards/en/DRI/226,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_226_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_226_R_EN_LG.png
DRI,227,en,https://limitlesstcg.com/cards/en/DRI/227,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_227_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_227_R_EN_LG.png
DRI,236,en,https://limitlesstcg.com/cards/en/DRI/236,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_236_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_236_R_EN_LG.png
DRI,237,en,https://limitlesstcg.com/cards/en/DRI/237,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_237_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_237_R_EN_LG.png
DRI,238,en,https://limitlesstcg.com/cards/en/DRI/238,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_238_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_238_R_EN_LG.png
JTG,179,en,https://limitlesstcg.com/cards/en/JTG/179,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_179_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_179_R_EN_LG.png
JTG,180,en,https://limitlesstcg.com/cards/en/JTG/180,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_180_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_180_R_EN_LG.png
JTG,181,en,https://limitlesstcg.com/cards/en/JTG/181,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_181_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_181_R_EN_LG.png
PRE,132,en,https://limitlesstcg.com/cards/en/PRE/132,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_132_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_132_R_EN_LG.png
PRE,133,en,https://limitlesstcg.com/cards/en/PRE/133,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_133_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_133_R_EN_LG.png
PRE,134,en,https://limitlesstcg.com/cards/en/PRE/134,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_134_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_134_R_EN_LG.png
PRE,135,en,https://limitlesstcg.com/cards/en/PRE/135,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_135_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_135_R_EN_LG.png
PRE,136,en,https://limitlesstcg.com/cards/en/PRE/136,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_136_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_136_R_EN_LG.png
PRE,137,en,https://limitlesstcg.com/cards/en/PRE/137,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_137_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_137_R_EN_LG.png
PRE,138,en,https://limitlesstcg.com/cards/en/PRE/138,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_138_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_138_R_EN_LG.png
PRE,139,en,https://limitlesstcg.com/cards/en/PRE/139,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_139_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_139_R_EN_LG.png
